epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,473.642,1.65228,2.29041,1.95353,0.67957,0.46758,0.52518,0.25303,1.79455,1.94612,2.08756,0.00332978,0.00332978,0.00332978
2,927.752,1.53306,1.83401,1.86806,0.62335,0.49911,0.54406,0.29316,1.62901,1.85653,1.94294,0.00659715,0.00659715,0.00659715
3,1384.95,1.59208,1.8679,1.95337,0.57385,0.42621,0.46204,0.22003,1.98823,1.91915,2.37536,0.00979852,0.00979852,0.00979852
4,1835.41,1.60642,1.89858,1.98605,0.59309,0.45164,0.48639,0.25156,1.7815,2.01632,2.19706,0.009703,0.009703,0.009703
5,2284.38,1.54815,1.79768,1.9327,0.67344,0.51126,0.56896,0.33616,1.59814,1.57908,1.9734,0.009604,0.009604,0.009604
6,2727.06,1.51336,1.72439,1.89838,0.72993,0.55078,0.6273,0.36785,1.56248,1.43154,1.92212,0.009505,0.009505,0.009505
7,3174.61,1.4795,1.66649,1.86346,0.68959,0.53831,0.5921,0.34104,1.5617,1.47791,1.88634,0.009406,0.009406,0.009406
8,3614.47,1.45829,1.62097,1.84365,0.74387,0.58075,0.66293,0.39763,1.53003,1.35686,1.84319,0.009307,0.009307,0.009307
9,4051.68,1.43862,1.587,1.8245,0.74588,0.58056,0.66413,0.41153,1.42752,1.30228,1.76397,0.009208,0.009208,0.009208
10,4493.05,1.41393,1.54566,1.80035,0.75224,0.607,0.68221,0.41881,1.4339,1.24651,1.78377,0.009109,0.009109,0.009109
11,4945.96,1.39755,1.52246,1.78938,0.75776,0.60068,0.69032,0.43562,1.40842,1.23911,1.69629,0.00901,0.00901,0.00901
